symptom,treatment,bodypart,diagnosis,others
Irregular heartbeat,Pacemaker,Heart,Arrhythmia,Genetic predisposition
Ear pain,Ear drops,Ears,Otitis media,Water entry
Yellow skin,Herbal liver tonic,Skin,Hepatitis,Contaminated food
Loss of balance,Vestibular rehab,Inner ear,Labyrinthitis,Viral infection
Hoarseness,Voice rest,Throat,Laryngitis,Overuse of voice
Swollen feet,Diuretics,Feet,Edema,Kidney issue
Chest tightness,Nitroglycerin,Chest,Angina,Stressful activity
Slow healing wounds,Antibiotics,Skin,Diabetes complication,High sugar level
Weight loss,Nutritional therapy,Whole body,Hyperthyroidism,Overactive thyroid
Cold hands,Warm compress,Hands,Raynaud’s disease,Winter season
Loss of smell,Nasal spray,Nose,Sinusitis,Cold infection
Eye strain,Eye drops,Eyes,Computer vision syndrome,Excess screen time
Difficulty sleeping,Melatonin supplements,Brain,Insomnia,Anxiety
tion,Fingers,Neuropathy,Deficiency,
Red rash,Topical antifungal,Neck,Ringworm,Fungal infection
Chills,Antiviral tablets,Whole body,Influenza,Seasonal outbreak
Itchy scalp,Anti-dandruff shampoo,Scalp,Seborrheic dermatitis,Flaking
Loss of balance,Physiotherapy,Legs,Vertigo,Inner ear disorder
Wheezing,Inhaler,Chest,Asthma,Allergic trigger
Fatigue,Iron supplements,Whole body,Anemia,Blood deficiency
Cold feet,Thermal socks,Feet,Poor circulation,Diabetes risk
Yellow skin,Antiviral,Skin,Jaundice,Liver issue
Blurred vision,Corrective glasses,Eyes,Myopia,Refractive error
Ear discharge,Antibiotic drops,Ear,Ear infection,Otitis media
Nosebleed,Nasal spray,Nose,Sinusitis,Allergic rhinitis
Back stiffness,Physiotherapy exercises,Back,Spondylitis,Poor posture
Burning sensation,Cooling gel,Hands,Contact dermatitis,Chemical exposure
Shortness of breath,Bronchodilator,Lungs,COPD,Smoking history
Swollen gums,Antibacterial mouthwash,Mouth,Gingivitis,Poor oral hygiene
Dry eyes,Lubricating drops,Eyes,Dry eye syndrome,Screen exposure
White patches,Antifungal cream,Skin,Tinea versicolor,Fungal infection
Cramping,Electrolyte solution,Stomach,Gastritis,Dehydration
Discolored nails,Antifungal tablets,Nails,Onychomycosis,Nail fungus
Hoarseness,Voice rest,Throat,Laryngitis,Vocal strain
Night sweats,Hormone therapy,Whole body,Tuberculosis,Chronic infection
Cold hands,Gloves,Hands,Raynaud’s disease,Stress trigger
Frequent urination,Insulin therapy,Bladder,Diabetes,High glucose
Sudden weight loss,Nutritional supplements,Whole body,Hyperthyroidism,Hormonal imbalance
Difficulty swallowing,Proton pump inhibitors,Esophagus,GERD,Acid reflux
Oily skin,Retinoid cream,Face,Acne vulgaris,Cosmetic concern
Pale skin,Iron-rich diet,Skin,Anemia,Low hemoglobin
Tingling sensation,Neuropathic pain meds,Feet,Peripheral neuropathy,Vitamin deficiency
Yellow eyes,Hepatitis antivirals,Eyes,Hepatitis B,Liver infection
Burning urine,Antibiotics,Urinary tract,UTI,Bacterial infection
Cold sores,Antiviral cream,Lips,Herpes simplex,Viral outbreak
Skin peeling,Moisturizer,Hands,Eczema,Dry weather
Head pressure,Decongestant tablets,Head,Sinus headache,Nasal congestion
Swollen eyelids,Antihistamines,Eyes,Allergic conjunctivitis,Pollen exposure
Constant thirst,Insulin injection,Whole body,Diabetes mellitus,High sugar intake
Hair loss,Minoxidil solution,Scalp,Alopecia areata,Stress-related
Yellow nails,Antifungal lotion,Nails,Nail psoriasis,Chronic skin condition
Skin bruising,Vitamin C supplements,Arms,Purpura,Weak blood vessels
Tremors,Beta-blockers,Hands,Parkinson’s disease,Neurological disorder
Hiccups,Baclofen,Diaphragm,Persistent hiccups,Nerve irritation
Blue lips,Oxygen therapy,Lips,Cyanosis,Oxygen deficiency
Eye twitching,Magnesium supplements,Eyes,Blepharospasm,Stress
Jaw pain,Dental treatment,Jaw,TMJ disorder,Teeth grinding
Sudden fainting,Cardiac evaluation,Whole body,Syncope,Low blood pressure
Abdominal lump,Surgery,Abdomen,Hernia,Strained muscles
Voice loss,Steroid inhaler,Throat,Acute laryngitis,Viral infection
Chronic cough,Cough syrup,Lungs,Bronchitis,Smoking habit
Burning chest,Antacids,Chest,Acid reflux,GERD
white patches,antifungal cream,neck,fungal infection,skin specialist
scaling,moisturizing lotion,scalp,seborrheic dermatitis,dandruff shampoo
swelling,ice pack,ankle,sprain,physiotherapy
lumps,biopsy,breast,benign tumor,mammogram
stiffness,heat therapy,knee,arthritis,physiotherapy
bleeding gums,mouthwash,gums,gingivitis,dentist consult
pus discharge,antibiotics,ear,ear infection,ENT referral
yellow eyes,antiviral drugs,eyes,jaundice,liver test
weight loss,nutrition plan,whole body,hyperthyroidism,thyroid test
cough,cough syrup,throat,bronchitis,steam inhalation
runny nose,antihistamines,nose,allergic rhinitis,nasal spray
difficulty walking,physiotherapy,leg,muscular dystrophy,genetic testing
night sweats,antibiotics,chest,tuberculosis,chest x-ray
excessive thirst,insulin therapy,whole body,diabetes mellitus,blood sugar test
itchy scalp,medicated shampoo,scalp,psoriasis,dermatologist visit
hair thinning,minoxidil,scalp,alopecia,scalp massage
brittle nails,vitamin supplements,nails,vitamin deficiency,diet modification
hearing loss,hearing aid,ear,sensorineural deafness,audiometry test
double vision,corrective lenses,eyes,strabismus,eye exercises
red spots,calamine lotion,arms,measles,vaccination
ulcers,antacids,stomach,peptic ulcer,endoscopy
blood in urine,antibiotics,bladder,urinary infection,urine culture
chest pain,nitroglycerin,chest,angina,ECG
irregular heartbeat,pacemaker,heart,arrhythmia,cardiology consult
dizziness,hydration,head,vertigo,ENT examination
tingling,vitamin B12 injection,hands,neuropathy,blood test
constipation,laxatives,stomach,irritable bowel syndrome,diet fiber intake
diarrhea,ORS,stomach,gastroenteritis,hydration therapy
blurred vision,corrective lenses,eyes,cataract,eye surgery
rash,antihistamine cream,back,allergic reaction,patch test
swollen tonsils,antibiotics,throat,tonsillitis,ENT check
tooth decay,filling,teeth,dental caries,oral hygiene
shortness of breath,inhaler,lungs,asthma,pulmonary function
frequent urination,insulin therapy,bladder,diabetes,urine sugar test
cracked lips,lip balm,lips,dehydration,fluid intake
itchy eyes,antihistamine drops,eyes,conjunctivitis,eye wash
pale skin,iron supplements,skin,anemia,hemoglobin test
nosebleed,nasal cream,nose,dry nasal mucosa,ENT consult
fainting,glucose tablet,whole body,hypoglycemia,blood glucose test
tremors,beta blockers,hands,Parkinson’s disease,neurology consult
high fever,paracetamol,whole body,viral fever,CBC test
swollen joints,anti-inflammatory,knee,rheumatoid arthritis,joint x-ray
cracked heels,heel cream,feet,dry skin,foot care
loss of appetite,nutritional support,whole body,depression,psychiatric therapy
back stiffness,physiotherapy,back,slipped disc,MRI scan
itchy rash,topical steroids,abdomen,eczema,allergy test
difficulty swallowing,proton pump inhibitors,throat,acid reflux,endoscopy
yellow nails,antifungal tablets,nails,fungal infection,nail care
brittle hair,protein supplements,scalp,malnutrition,dietician consult
rashes,antihistamine cream,arms,allergic dermatitis,itching
pus-filled bump,antibiotic ointment,thigh,folliculitis,redness
cracked skin,moisturizing cream,hands,eczema,dryness
warts,cryotherapy,fingers,viral wart,contagious
fungal patches,antifungal cream,back,ringworm,circular spots
hair loss,minoxidil solution,scalp,alopecia,thinning hair
oily skin,salicylic acid wash,face,seborrheic dermatitis,flakiness
cold sore,antiviral cream,lips,herpes simplex,burning
ulcer,medicated mouth gel,tongue,oral ulcer,painful
red eyes,lubricating drops,eyes,conjunctivitis,watery discharge
swelling,ice compress,ankle,sprain,bruising
muscle stiffness,physiotherapy,neck,cervical spondylosis,numbness
cough,cough syrup,throat,bronchitis,mucus
shortness of breath,inhaler,lungs,asthma,wheezing
high fever,paracetamol,whole body,viral infection,fatigue
yellowing skin,vitamin supplements,eyes,jaundice,nausea
joint swelling,anti-inflammatory drug,knees,arthritis,stiffness
brittle nails,keratin supplements,nails,nail dystrophy,discoloration
severe headache,painkiller,head,migraine,sensitivity to light
toothache,dental filling,teeth,cavity,sensitivity
gum bleeding,antiseptic mouthwash,gums,gingivitis,swelling
sore throat,warm salt water gargle,throat,pharyngitis,hoarseness
ear pain,antibiotic drops,ears,otitis media,hearing loss
dizziness,balance therapy,head,vertigo,nausea
blurry vision,corrective glasses,eyes,refractive error,strain
chest heaviness,beta blockers,chest,hypertension,dizziness
irregular heartbeat,ECG monitoring,chest,arrhythmia,palpitations
stomach cramps,antacid,stomach,gastritis,bloating
indigestion,digestive enzyme tablets,stomach,dyspepsia,belching
constipation,laxatives,intestine,IBS,discomfort
diarrhea,oral rehydration salts,intestine,gastroenteritis,dehydration
skin redness,hydrocortisone cream,face,rosacea,flushing
patchy skin,phototherapy,arms,vitiligo,discoloration
scaly skin,coal tar shampoo,scalp,psoriasis,itching
bleeding nose,nasal spray,nose,epistaxis,dryness
cracked heels,petroleum jelly,feet,fissures,rough skin
weak bones,calcium supplements,bones,osteoporosis,fractures
chest tightness,bronchodilator,chest,COPD,cough
sudden weight gain,lifestyle modification,abdomen,hypothyroidism,swelling
burning urination,antibiotics,urethra,UTI,fever
pelvic pain,ultrasound checkup,pelvis,ovarian cyst,bloating
irregular periods,hormonal pills,uterus,PCOS,acne
breast lump,biopsy,breast,fibroadenoma,pain
excessive sweating,antiperspirant,underarms,hyperhidrosis,odor
trembling hands,beta blockers,hands,essential tremor,anxiety
confusion,vitamin B12 injection,brain,dementia,memory loss
back stiffness,heat therapy,lower back,slipped disc,numbness
leg cramps,magnesium supplements,legs,muscle strain,tingling
redness,soothing gel,nose,mild rosacea,itching
flaky skin,hydrating lotion,cheeks,seborrheic dermatitis,dandruff
white patches,antifungal cream,arms,vitiligo,discoloration
burning sensation,cooling ointment,scalp,eczema,hair thinning
scaly skin,steroid cream,elbows,psoriasis,cracking
boils,antibiotic ointment,back,bacterial infection,pus discharge
small blisters,antiviral cream,lips,cold sore,tingling
yellow nails,antifungal drops,toenails,fungal infection,brittleness
warts,cryotherapy,fingers,HPV infection,rough texture
peeling skin,moisturizer,palms,contact dermatitis,irritation
swollen lumps,warm compress,armpits,lymphadenitis,tenderness
blackheads,salicylic acid cleanser,forehead,acne vulgaris,oily skin
deep nodules,isotretinoin,chin,severe acne,scarring
swollen eyelid,antibiotic drops,eyes,stye,redness
crusty patches,medicated shampoo,scalp,dandruff,itching
cracked heels,heel balm,feet,xerosis,roughness
small ulcers,numbing gel,mouth,aphthous stomatitis,burning
yellowish skin,herbal tonic,face,jaundice,fatigue
ring-shaped rash,antifungal cream,thigh,ringworm,spreading
purple patches,corticosteroids,legs,purpura,bleeding tendency
hives,antihistamines,arms,urticaria,allergy
raised bumps,benzoyl peroxide,back,folliculitis,pus-filled spots
painful sores,acyclovir,genitals,herpes simplex,burning
sunburn,aloe vera gel,shoulders,acute sunburn,peeling
thick plaques,coal tar ointment,knees,psoriasis,scaling
pus-filled cysts,incision & drainage,buttocks,abscess,fever
persistent itch,antihistamine cream,neck,eczema,redness
blue lips,oxygen therapy,lips,cyanosis,shortness of breath
thickened skin,retinoid cream,hands,keratoderma,stiffness
goosebumps,warm compress,arms,piloerection,chills
nail ridges,biotin supplements,fingernails,brittle nails,weakness
whiteheads,glycolic peel,face,comedonal acne,clogged pores
fluid-filled blister,sterile dressing,heel,friction blister,pain
lump under skin,surgical removal,shoulder,lipoma,movable
itchy scalp,medicated oil,scalp,seborrhea,flaking
dry eyes,lubricating drops,eyes,dry eye syndrome,irritation
bleeding gums,mouthwash,gums,gingivitis,swelling
metallic taste,zinc supplements,tongue,dysgeusia,nausea
red streaks,antibiotics,leg,cellulitis,fever
scarring,silicone gel,chest,keloid,raised tissue
itchy rash,calamine lotion,waist,contact allergy,redness
thick toenails,antifungal tablets,toes,onychomycosis,brittleness
painful lump,hot compress,jaw,abscess,pus
rough patches,emollient cream,arms,eczema,dryness
open sores,silver dressing,foot,diabetic ulcer,poor healing
swollen tongue,steroid tablets,tongue,angioedema,difficulty breathing
cracked lips,petroleum jelly,lips,cheilitis,burning
white coating,antifungal drops,tongue,oral thrush,soreness
nail discoloration,antifungal lacquer,nails,fungal infection,brittleness
darkened skin,hydroquinone cream,face,hyperpigmentation,uneven tone
open blisters,bandage,toes,athlete’s foot,itchiness
purplish veins,compression stockings,legs,varicose veins,pain
pus pimples,clindamycin gel,chest,acne,redness
yellow eyes,liver medication,eyes,jaundice,fatigue
peeling lips,vitamin B supplements,lips,cheilitis,cracks
skin tags,cryotherapy,neck,benign growth,irritation
red scaly patches,coal tar shampoo,scalp,psoriasis,dandruff
tender gums,dental cleaning,gums,periodontitis,bleeding
brittle hair,protein treatment,scalp,malnutrition,hair fall
swollen knees,anti-inflammatory gel,knees,arthritis,stiffness
blue nails,oxygen therapy,nails,cyanosis,cold extremities
itchy blisters,steroid ointment,arms,dermatitis herpetiformis,gluten sensitivity
yellow crusts,antibiotic ointment,nose,impetigo,contagious
swollen jaw,warm compress,jaw,mumps,fever
discolored patches,herbal cream,back,pityriasis versicolor,scaling
cracked nails,keratin treatment,nails,brittle nail syndrome,splitting
painful gums,antiseptic rinse,gums,gingivitis,bad breath
drooping eyelid,surgery,eyelid,ptosis,blurred vision
sore throat,throat lozenges,throat,pharyngitis,hoarseness
swollen ankles,diuretics,ankles,edema,water retention
bulging eyes,thyroid treatment,eyes,hyperthyroidism,weight loss
scabby scalp,medicated shampoo,scalp,scalp psoriasis,itching
tingling hands,vitamin supplements,hands,neuropathy,numbness
pale skin,iron tablets,face,anemia,fatigue
swollen fingers,anti-inflammatory meds,fingers,arthritis,pain
thick scars,laser therapy,chest,hypertrophic scar,raised skin
tiny red spots,corticosteroid cream,torso,petechiae,bleeding
swollen lips,antihistamine tablets,lips,allergy,itching
brittle teeth,fluoride treatment,teeth,dental caries,pain
skin cracking,emollient balm,heels,xerosis,dryness
itchy eyelids,antihistamine drops,eyelids,blepharitis,swelling
discolored nails,antifungal ointment,nails,nail fungus,fragility
rashes,topical cream,abdomen,allergic dermatitis,redness
jaw stiffness,pain relievers,jaw,tetanus,muscle spasms
itchy palms,soothing lotion,palms,eczema,redness
thick hair patches,laser therapy,face,hirsutism,hormonal imbalance
swollen neck,antibiotics,neck,tonsillitis,fever
rash with blisters,calamine lotion,torso,chickenpox,fever
burning eyes,cooling drops,eyes,conjunctivitis,watery discharge
painful heel,heel pad,heel,plantar fasciitis,stiffness
yellowish nails,antifungal solution,nails,onychomycosis,fragility
brown patches,bleaching cream,arms,melasma,hormonal cause
pus boils,antibiotics,thigh,furunculosis,pain
itchy patches,steroid cream,groin,eczema,redness
swollen wrist,brace support,wrist,carpal tunnel,numbness
redness in eyes,lubricating drops,eyes,conjunctivitis,itching
painful toe,surgical removal,toe,ingrown toenail,swelling
constant sneezing,antihistamine tablets,nose,allergic rhinitis,pollen allergy
eye redness,lubricating eye drops,eyes,conjunctivitis,dust exposure
cracked lips,moisturizing lip balm,lips,cheilitis,vitamin deficiency
severe cough,cough syrup,throat,bronchitis,smoking history
rapid heartbeat,beta-blockers,chest,tachycardia,stress related
joint stiffness,physiotherapy,knees,osteoarthritis,old age
brittle nails,biotin supplements,fingers,nutritional deficiency,low iron
difficulty swallowing,proton pump inhibitors,throat,acid reflux,obesity
blurred vision,corrective lenses,eyes,refractive error,myopia
muscle cramps,magnesium supplements,calves,electrolyte imbalance,dehydration
sore gums,antiseptic mouthwash,gums,gingivitis,poor oral hygiene
swollen eyelids,antihistamine drops,eyes,blepharitis,bacterial infection
toothache,root canal,molars,dental caries,sweet consumption
excessive sweating,antiperspirant,underarms,hyperhidrosis,anxiety
hair thinning,minoxidil solution,scalp,alopecia,hormonal imbalance
weak grip,hand therapy,hands,carpal tunnel syndrome,repetitive work
chest pain,nitroglycerin tablets,chest,angina,coronary artery disease
fainting spells,pacemaker,heart,arrhythmia,low blood pressure
wheezing,inhaler,lungs,asthma,dust allergy
high fever,paracetamol,whole body,viral fever,seasonal flu
yellow eyes,antiviral drugs,eyes,hepatitis,liver infection
swollen ankles,diuretics,legs,edema,kidney disorder
cold feet,warming therapy,feet,poor circulation,diabetes
itchy scalp,medicated shampoo,scalp,dandruff,fungal infection
ringing ears,hearing aids,ears,tinnitus,loud noise exposure
black stool,endoscopy,intestines,gastrointestinal bleed,ulcer
stiff neck,neck collar,neck,cervical spondylosis,computer strain
dry skin,hydrating lotion,skin,eczema,cold climate
slow healing wounds,antibiotics,skin,diabetes complication,high sugar
hand tremors,levodopa,hands,Parkinson’s disease,elderly
sudden weight gain,hormone therapy,whole body,hypothyroidism,thyroid disorder
rapid weight loss,insulin therapy,body,type 1 diabetes,pancreas issue
frequent urination,antibiotics,bladder,UTI,bacterial infection
sleepiness,CPAP machine,airway,sleep apnea,obesity
swollen glands,antibiotics,neck,lymphadenitis,throat infection
shortness of breath,bronchodilators,lungs,COPD,smoking history
itchy throat,lozenges,throat,pharyngitis,viral infection
red patches,topical steroids,skin,psoriasis,genetic
vomiting,rehydration solution,stomach,gastritis,food poisoning
pale skin,vitamin B12 injections,skin,pernicious anemia,malnutrition
cracked heels,urea cream,feet,xerosis,winter dryness
nosebleeds,nasal spray,nose,epistaxis,dry climate
back stiffness,exercise therapy,spine,ankylosing spondylitis,autoimmune
sudden dizziness,balance therapy,ear,vertigo,inner ear disorder
swollen fingers,pain relievers,fingers,rheumatoid arthritis,autoimmune disorder
bluish lips,oxygen therapy,lips,cyanosis,lung disease
itchy eyes,antihistamine drops,eyes,allergic conjunctivitis,pollen allergy
bleeding gums,scaling,gums,periodontitis,tartar buildup
tooth sensitivity,fluoride toothpaste,teeth,enamel erosion,acidic foods
sore tongue,vitamin supplements,tongue,glossitis,iron deficiency
swollen tonsils,antibiotics,throat,tonsillitis,bacterial infection
